0:8:b9:18:54:e3,1,0.0.0.0,31.6,44.0,440,0,0,0,0,0
fc:52:8d:5e:8c:c1,8,10.10.10.246,28.3,0,0,0,0,0,0,0
e0:ca:94:85:82:79,8,10.10.10.60,32.5,0,0,0,0,0,0,0
e0:ca:94:85:82:70,8,10.10.10.54,30.7,0,0,0,0,0,0,0
8:eb:74:bc:b:c0,8,10.10.10.114,30.6,0,0,0,0,0,0,0
8:eb:74:bc:c:a4,8,10.10.10.165,33.6,0,0,0,0,0,0,0
fc:52:8d:5e:95:4c,8,10.10.10.110,32.7,0,0,0,0,0,0,0
fc:52:8d:5e:88:65,8,10.10.10.56,32.2,0,0,0,0,0,0,0
fc:52:8d:5e:8f:fd,8,10.10.10.106,33.7,0,0,0,0,0,0,0
fc:52:8d:5e:90:2a,8,10.10.10.243,32.1,0,0,0,0,0,0,0
fc:52:8d:5e:8c:94,8,10.10.10.241,30.5,0,0,0,0,0,0,0
fc:52:8d:5e:8c:79,8,10.10.10.59,35.1,0,0,0,0,0,0,0
fc:52:8d:5e:8c:af,8,10.10.10.242,32.7,0,0,0,0,0,0,0
fc:52:8d:5e:8c:28,8,10.10.10.104,29.7,0,0,0,0,0,0,0
fc:52:8d:5e:88:2,8,10.10.10.53,27.2,0,0,0,0,0,0,0
8:eb:74:bc:c:8c,8,10.10.10.105,29.0,0,0,0,0,0,0,0
8:eb:74:bc:b:d8,8,10.10.10.103,30.2,0,0,0,0,0,0,0
8:eb:74:bc:b:b4,8,10.10.10.98,22.2,0,0,0,0,0,0,0
e0:ca:94:85:82:82,8,10.10.10.248,29.5,0,0,0,0,0,0,0
8:eb:74:bc:c:8,8,10.10.10.176,26.8,0,0,0,0,0,0,0
fc:4a:e9:9:ee:e3,8,10.10.10.100,30.7,0,0,0,0,0,0,0
fc:4a:e9:9:ee:b6,8,10.10.10.67,31.3,0,0,0,0,0,0,0
fc:4a:e9:9:ee:b3,8,10.10.10.58,30.2,0,0,0,0,0,0,0
fc:4a:e9:9:ee:bf,8,10.10.10.198,25.7,0,0,0,0,0,0,0
fc:4a:e9:9:ee:ad,8,10.10.10.175,34.3,0,0,0,0,0,0,0
8:eb:74:bc:c:b0,8,10.10.10.183,30.1,0,0,0,0,0,0,0
dc:ef:9:ff:5d:b0,8,10.10.10.55,31.5,0,0,0,0,0,0,0
dc:ef:9:ff:5e:20,8,10.10.10.161,28.7,0,0,0,0,0,0,0
dc:ef:9:ff:5d:90,8,10.10.10.166,29.3,0,0,0,0,0,0,0
dc:ef:9:ff:5d:70,8,10.10.10.196,29.5,0,0,0,0,0,0,0
fc:4a:e9:9:ee:fb,8,10.10.10.57,31.1,0,0,0,0,0,0,0
8:eb:74:bc:c:98,8,10.10.10.169,28.2,0,0,0,0,0,0,0
8:eb:74:bc:c:14,8,10.10.10.174,0,0,0,0,0,0,0,0
